Date,Open,High,Low,Close,Adj Close,Volume
2021-03-16,703.349976,707.919983,671.000000,676.880005,676.880005,32195700
2021-03-17,656.869995,703.729980,651.010010,701.809998,701.809998,40372500
2021-03-18,684.289978,689.229980,652.000000,653.159973,653.159973,33224800
2021-03-19,646.599976,657.229980,624.619995,654.869995,654.869995,42894000
2021-03-22,684.590027,699.619995,668.750000,670.000000,670.000000,39512200
2021-03-23,675.770020,677.799988,657.510010,662.159973,662.159973,30491900
2021-03-24,667.909973,668.020020,630.109985,630.270020,630.270020,33795200
2021-03-25,613.000000,645.500000,609.500000,640.390015,640.390015,39224900
2021-03-26,641.869995,643.820007,599.890015,618.710022,618.710022,33852800
2021-03-29,615.640015,616.479980,596.020020,611.289978,611.289978,28637000
2021-03-30,601.750000,637.659973,591.010010,635.619995,635.619995,39432400
2021-03-31,646.619995,672.000000,641.109985,667.929993,667.929993,33337300
2021-04-01,688.369995,692.419983,659.419983,661.750000,661.750000,35298400
2021-04-05,707.710022,708.159973,684.700012,691.049988,691.049988,41842800
2021-04-06,690.299988,696.549988,681.369995,691.619995,691.619995,28271800
2021-04-07,687.000000,691.380005,667.840027,670.969971,670.969971,26309400
2021-04-08,677.380005,689.549988,671.650024,683.799988,683.799988,23924300
2021-04-09,677.770020,680.969971,669.429993,677.020020,677.020020,21437100
2021-04-12,685.700012,704.799988,682.090027,701.979980,701.979980,29135700
2021-04-13,712.700012,763.000000,710.659973,762.320007,762.320007,44652800
2021-04-14,770.700012,780.789978,728.030029,732.229980,732.229980,49017400
2021-04-15,743.099976,743.690002,721.309998,738.849976,738.849976,27848900
2021-04-16,728.650024,749.409973,724.599976,739.780029,739.780029,27979500
2021-04-19,719.599976,725.400024,691.799988,714.630005,714.630005,39686200
2021-04-20,717.419983,737.250000,710.690002,718.989990,718.989990,35609000
2021-04-21,704.770020,744.840027,698.000000,744.119995,744.119995,31215500
2021-04-22,741.500000,753.770020,718.039978,719.690002,719.690002,35590300
2021-04-23,719.799988,737.359985,715.460022,729.400024,729.400024,28370000
2021-04-26,741.000000,749.299988,732.609985,738.200012,738.200012,31038500
2021-04-27,717.960022,724.000000,703.349976,704.739990,704.739990,29437000
2021-04-28,696.409973,708.500000,693.599976,694.400024,694.400024,22271000
2021-04-29,699.510010,702.250000,668.500000,677.000000,677.000000,28845400
2021-04-30,667.590027,715.469971,666.140015,709.440002,709.440002,40758700
2021-05-03,703.799988,706.000000,680.500000,684.900024,684.900024,27043100
2021-05-04,678.940002,683.450012,657.700012,673.599976,673.599976,29739300
2021-05-05,681.059998,685.299988,667.340027,670.940002,670.940002,21901900
2021-05-06,680.760010,681.020020,650.000000,663.539978,663.539978,27784600
2021-05-07,665.799988,690.000000,660.219971,672.369995,672.369995,23469200
2021-05-10,664.900024,665.049988,627.609985,629.039978,629.039978,31392400
2021-05-11,599.239990,627.099976,595.599976,617.200012,617.200012,46503900
2021-05-12,602.489990,620.409973,586.770020,589.890015,589.890015,33823600
2021-05-13,601.539978,606.460022,559.650024,571.690002,571.690002,44184900
2021-05-14,583.409973,592.869995,570.460022,589.739990,589.739990,33370900
